"site","year","precipitation"
"Calgary",1895,408.2
"Calgary",1896,422.4
"Calgary",1897,551
"Calgary",1898,422.2
"Regina",1898,366.3
"Calgary",1899,700.8
"Regina",1899,353.4
"Calgary",1900,471.1
"Regina",1900,343.5
"Calgary",1901,589.8
"Regina",1901,529.4
"Calgary",1902,919.6
"Regina",1902,419.9
"Saskatoon",1902,350.4
"Calgary",1903,606.3
"Regina",1903,407.9
"Saskatoon",1903,442.1
"Calgary",1904,324
"Regina",1904,434.3
"Saskatoon",1904,502.5
"Calgary",1905,381.2
"Regina",1905,469.9
"Saskatoon",1905,300.3
"Calgary",1906,440.1
"Regina",1906,531.9
"Saskatoon",1906,348.1
"Calgary",1907,400.4
"Regina",1907,393.2
"Saskatoon",1907,297.1
"Calgary",1908,484
"Regina",1908,392.9
"Saskatoon",1908,395.5
"Calgary",1909,414.8
"Regina",1909,568.8
"Saskatoon",1909,444.5
"Calgary",1910,320.9
"Regina",1910,390.7
"Saskatoon",1910,310.7
"Calgary",1911,498.2
"Regina",1911,528.8
"Saskatoon",1911,545.9
"Calgary",1912,580.1
"Regina",1912,309.9
"Saskatoon",1912,462.5
"Calgary",1913,457.7
"Regina",1913,394.7
"Saskatoon",1913,392.9
"Calgary",1914,465
"Regina",1914,346.7
"Saskatoon",1914,359.1
"Calgary",1915,499.2
"Regina",1915,282
"Saskatoon",1915,299.2
"Calgary",1916,376.8
"Regina",1916,650.7
"Saskatoon",1916,448.4
"Calgary",1917,310.3
"Regina",1917,250.3
"Saskatoon",1917,366.9
"Calgary",1918,248.6
"Regina",1918,342.2
"Saskatoon",1918,348.6
"Calgary",1919,329.9
"Regina",1919,338
"Saskatoon",1919,327.5
"Calgary",1920,383.6
"Regina",1920,415.5
"Saskatoon",1920,431.2
"Calgary",1921,358.7
"Regina",1921,564.3
"Saskatoon",1921,604.1
"Calgary",1922,284.5
"Regina",1922,412.8
"Saskatoon",1922,381.5
"Calgary",1923,617.2
"Regina",1923,568.4
"Saskatoon",1923,535.8
"Calgary",1924,642.3
"Regina",1924,382.4
"Saskatoon",1924,383.5
"Calgary",1925,479.8
"Regina",1925,465.5
"Saskatoon",1925,473.8
"Calgary",1926,653
"Regina",1926,456.5
"Saskatoon",1926,427.4
"Calgary",1927,806.5
"Regina",1927,618.3
"Saskatoon",1927,617.9
"Calgary",1928,452.1
"Regina",1928,349
"Saskatoon",1928,447.5
"Calgary",1929,361.8
"Regina",1929,334.8
"Saskatoon",1929,351.5
"Calgary",1930,397.9
"Regina",1930,304.9
"Saskatoon",1930,369.4
"Calgary",1931,315.8
"Regina",1931,294.1
"Saskatoon",1931,392
"Calgary",1932,562.6
"Regina",1932,485.1
"Saskatoon",1932,357.3
"Calgary",1933,350.3
"Regina",1933,535
"Saskatoon",1933,396.8
"Calgary",1934,382.3
"Regina",1934,363.7
"Saskatoon",1934,375.2
"Calgary",1935,477.9
"Regina",1935,534.3
"Saskatoon",1935,557.9
"Calgary",1936,274.3
"Regina",1936,331
"Saskatoon",1936,348
"Calgary",1937,524.3
"Regina",1937,251.4
"Saskatoon",1937,338.4
"Calgary",1938,453.3
"Regina",1938,450.1
"Saskatoon",1938,546
"Calgary",1939,511.6
"Regina",1939,402.7
"Saskatoon",1939,484
"Calgary",1940,488.7
"Regina",1940,376.4
"Saskatoon",1940,404.8
"Calgary",1941,430.7
"Regina",1941,489.8
"Saskatoon",1941,308.2
"Calgary",1942,559.8
"Regina",1942,561.5
"Saskatoon",1942,537.3
"Calgary",1943,362.3
"Regina",1943,351.6
"Saskatoon",1943,368.7
"Calgary",1944,469.2
"Regina",1944,432.9
"Saskatoon",1944,390.8
"Calgary",1945,631.3
"Regina",1945,504.8
"Saskatoon",1945,411.6
"Calgary",1946,505.3
"Regina",1946,590.3
"Saskatoon",1946,457.2
"Calgary",1947,543
"Regina",1947,523.2
"Saskatoon",1947,469.8
"Calgary",1948,484.9
"Regina",1948,402.2
"Saskatoon",1948,377.6
"Calgary",1949,290
"Regina",1949,332
"Saskatoon",1949,444.4
"Calgary",1950,482.5
"Regina",1950,523.2
"Saskatoon",1950,505.1
"Calgary",1951,815.7
"Regina",1951,614.7
"Saskatoon",1951,428.3
"Calgary",1952,482
"Regina",1952,421.6
"Saskatoon",1952,275.3
"Calgary",1953,577.7
"Regina",1953,551.3
"Saskatoon",1953,369.3
"Calgary",1954,623.9
"Regina",1954,682.8
"Saskatoon",1954,578.3
"Calgary",1955,429.4
"Regina",1955,605.8
"Saskatoon",1955,508.4
"Calgary",1956,483.1
"Regina",1956,590.6
"Saskatoon",1956,460
"Calgary",1957,430.3
"Regina",1957,320.2
"Saskatoon",1957,362.8
"Calgary",1958,405.3
"Regina",1958,333.4
"Saskatoon",1958,388.7
"Calgary",1959,471.6
"Regina",1959,525.2
"Saskatoon",1959,430
"Calgary",1960,420.8
"Regina",1960,417.9
"Saskatoon",1960,318.1
"Calgary",1961,474.9
"Regina",1961,285.6
"Saskatoon",1961,430.1
"Calgary",1962,361.4
"Regina",1962,471.8
"Saskatoon",1962,421.3
"Calgary",1963,498.5
"Regina",1963,537.3
"Saskatoon",1963,496.5
"Calgary",1964,472.1
"Regina",1964,498
"Saskatoon",1964,356.8
"Calgary",1965,680.2
"Regina",1965,564.9
"Saskatoon",1965,410
"Calgary",1966,496
"Regina",1966,450.7
"Saskatoon",1966,460.9
"Calgary",1967,335.7
"Regina",1967,414.2
"Saskatoon",1967,438.8
"Calgary",1968,440.9
"Regina",1968,368.3
"Saskatoon",1968,543.8
"Calgary",1969,501.9
"Regina",1969,526.5
"Saskatoon",1969,487
"Calgary",1970,487
"Regina",1970,533.8
"Saskatoon",1970,461.2
"Calgary",1971,477.4
"Regina",1971,372
"Saskatoon",1971,471.1
"Calgary",1972,581.5
"Regina",1972,449.8
"Saskatoon",1972,388.6
"Calgary",1973,429.3
"Regina",1973,518.3
"Saskatoon",1973,485.1
"Calgary",1974,411
"Regina",1974,513.7
"Saskatoon",1974,500.4
"Calgary",1975,454.5
"Regina",1975,590.3
"Saskatoon",1975,438.8
"Calgary",1976,462.9
"Regina",1976,499.1
"Saskatoon",1976,359
"Calgary",1977,471.3
"Regina",1977,411.5
"Saskatoon",1977,397.3
"Calgary",1978,597.6
"Regina",1978,475.5
"Saskatoon",1978,402.1
"Calgary",1979,337.4
"Regina",1979,387.7
"Saskatoon",1979,379.9
"Calgary",1980,510
"Regina",1980,346.8
"Saskatoon",1980,362.9
"Calgary",1981,540.4
"Regina",1981,452
"Saskatoon",1981,364.6
"Calgary",1982,481.7
"Regina",1982,462.8
"Saskatoon",1982,478.9
"Calgary",1983,351.3
"Regina",1983,529.3
"Saskatoon",1983,511.3
"Calgary",1984,421.6
"Regina",1984,359.5
"Saskatoon",1984,366.7
"Calgary",1985,453.7
"Regina",1985,449.3
"Saskatoon",1985,396.2
"Calgary",1986,521.6
"Regina",1986,456.1
"Saskatoon",1986,451.1
"Calgary",1987,393.7
"Regina",1987,403.9
"Saskatoon",1987,284.5
"Calgary",1988,454.9
"Regina",1988,364.8
"Saskatoon",1988,361.4
"Calgary",1989,452
"Regina",1989,505.4
"Saskatoon",1989,423.7
"Calgary",1990,472.6
"Regina",1990,373.7
"Saskatoon",1990,326.7
"Calgary",1991,462.8
"Regina",1991,665.1
"Saskatoon",1991,554.8
"Calgary",1992,562.5
"Regina",1992,362.3
"Saskatoon",1992,392.6
"Calgary",1993,510.4
"Regina",1993,620
"Saskatoon",1993,404.4
"Calgary",1994,416.3
"Regina",1994,479.1
"Saskatoon",1994,407.2
"Calgary",1995,474.3
"Regina",1995,617.9
"Saskatoon",1995,466.3
"Calgary",1996,444.5
"Regina",1996,461.9
"Saskatoon",1996,519
"Calgary",1997,497.6
"Regina",1997,368.9
"Saskatoon",1997,368.3
"Calgary",1998,600.3
"Regina",1998,559.4
"Saskatoon",1998,342.7
"Calgary",1999,505.2
"Regina",1999,410.8
"Saskatoon",1999,487.4
"Calgary",2000,512.1
"Regina",2000,554.7
"Saskatoon",2000,408.1
"Calgary",2001,394.9
"Regina",2001,370.6
"Saskatoon",2001,202.8
"Calgary",2002,414.7
"Regina",2002,496.2
"Saskatoon",2002,369.3
"Calgary",2003,527.3
"Regina",2003,310.6
"Saskatoon",2003,291.3
"Calgary",2004,442.2
"Regina",2004,504.8
"Saskatoon",2004,482.8
"Calgary",2005,592.4
"Regina",2005,392.1
"Saskatoon",2005,583.2
"Calgary",2006,493.8
"Regina",2006,415.8
"Saskatoon",2006,526
"Calgary",2007,533.3
"Regina",2007,363
"Saskatoon",2007,361.9
